,index,Chainage,tnd_ot,tnd_hdd,hdd,drt,drt_duct_dam,dit,dit_duct_miss,blow
274,474,274,False,False,False,True,False,True,False,True
275,475,275,False,False,False,True,False,True,False,True
276,476,276,False,False,False,True,False,True,False,True
277,477,277,False,False,False,True,False,True,False,True
278,478,278,False,False,False,True,False,True,False,True
279,479,279,False,False,False,True,False,True,False,True
280,480,280,False,False,False,True,False,True,False,True
281,481,281,False,False,False,True,False,True,False,True
282,482,282,False,False,False,True,False,True,False,True
283,483,283,False,False,False,True,False,True,False,True
284,484,284,False,False,False,True,False,True,False,True
285,485,285,False,False,False,True,False,True,False,True
286,486,286,False,False,False,True,False,True,False,True
287,487,287,False,False,False,True,False,True,False,True
288,488,288,False,False,False,True,False,True,False,True
289,489,289,False,False,False,True,False,True,False,True
290,490,290,False,False,False,True,False,True,False,True
291,491,291,False,False,False,True,False,True,False,True
292,492,292,False,False,False,True,False,True,False,True
293,493,293,False,False,False,True,False,True,False,True
294,494,294,False,False,False,True,False,True,False,True
295,495,295,False,False,False,True,False,True,False,True
296,496,296,False,False,False,True,False,True,False,True
297,497,297,False,False,False,True,False,True,False,True
298,498,298,False,False,False,True,False,True,False,True
299,499,299,False,False,False,True,False,True,False,True
300,500,300,False,False,False,True,False,True,False,True
301,501,301,False,False,False,True,False,True,False,True
302,502,302,False,False,False,True,False,True,False,True
303,503,303,False,False,False,True,False,True,False,True
304,504,304,False,False,False,True,False,True,False,True
305,505,305,False,False,False,True,False,True,False,True
306,506,306,False,False,False,True,False,True,False,True
307,507,307,False,False,False,True,False,True,False,True
308,508,308,False,False,False,True,False,True,False,True
309,509,309,False,False,False,True,False,True,False,True
310,510,310,False,False,False,True,False,True,False,True
311,511,311,False,False,False,True,False,True,False,True
312,512,312,False,False,False,True,False,True,False,True
313,513,313,False,False,False,True,False,True,False,True
314,514,314,False,False,False,True,False,True,False,True
315,515,315,False,False,False,True,False,True,False,True
316,516,316,False,False,False,True,False,True,False,True
317,517,317,False,False,False,True,False,True,False,True
318,518,318,False,False,False,True,False,True,False,True
319,519,319,False,False,False,True,False,True,False,True
320,520,320,False,False,False,True,False,True,False,True
321,521,321,False,False,False,True,False,True,False,True
322,522,322,False,False,False,True,False,True,False,True
323,523,323,False,False,False,True,False,True,False,True
324,524,324,False,False,False,True,False,True,False,True
325,525,325,False,False,False,True,False,True,False,True
326,526,326,False,False,False,True,False,True,False,True
327,527,327,False,False,False,True,False,True,False,True
328,528,328,False,False,False,False,False,True,False,True
329,529,329,False,False,False,False,False,True,False,True
330,530,330,False,False,False,False,False,True,False,True
331,531,331,False,False,False,False,False,True,False,True
332,532,332,False,False,False,False,False,True,False,True
333,533,333,False,False,False,False,False,True,False,True
334,534,334,False,False,False,False,False,True,False,True
335,535,335,False,False,False,False,False,True,False,True
336,536,336,False,False,False,False,False,True,False,True
337,537,337,False,False,False,False,False,True,False,True
338,538,338,False,False,False,False,False,True,False,True
339,539,339,False,False,False,False,False,True,False,True
340,540,340,False,False,False,False,False,True,False,True
341,541,341,False,False,False,False,False,True,False,True
342,542,342,False,False,False,False,False,True,False,True
343,543,343,False,False,False,False,False,True,False,True
344,544,344,False,False,False,False,False,True,False,True
345,545,345,False,False,False,False,False,True,False,True
346,546,346,False,False,False,False,False,True,False,True
347,547,347,False,False,False,False,False,True,False,True
348,548,348,False,False,False,False,False,True,False,True
349,549,349,False,False,False,False,False,True,False,True
350,550,350,False,False,False,False,False,True,False,True
351,551,351,False,False,False,False,False,True,False,True
352,552,352,False,False,False,False,False,True,False,True
353,553,353,False,False,False,False,False,True,False,True
354,554,354,False,False,False,False,False,True,False,True
355,555,355,False,False,False,False,False,True,False,True
356,556,356,False,False,False,False,False,True,False,True
357,557,357,False,False,False,False,False,True,False,True
358,558,358,False,False,False,False,False,True,False,True
359,559,359,False,False,False,False,False,True,False,True
360,560,360,False,False,False,False,False,True,False,True
361,561,361,False,False,False,False,False,True,False,True
362,562,362,False,False,False,False,False,True,False,True
363,563,363,False,False,False,False,False,True,False,True
364,564,364,False,False,False,False,False,True,False,True
365,565,365,False,False,False,False,False,True,False,True
366,566,366,False,False,False,False,False,True,False,True
367,567,367,False,False,False,False,False,True,False,True
368,568,368,False,False,False,False,False,True,False,True
369,569,369,False,False,False,False,False,True,False,True
370,570,370,False,False,False,False,False,True,False,True
371,571,371,False,False,False,False,False,True,False,True
372,572,372,False,False,False,False,False,True,False,True
373,573,373,False,False,False,False,False,True,False,True
374,574,374,False,False,False,False,False,True,False,True
375,575,375,False,False,False,False,False,True,False,True
376,576,376,False,False,False,False,False,True,False,True
377,577,377,False,False,False,True,False,True,False,True
378,578,378,False,False,False,True,False,True,False,True
379,579,379,False,False,False,True,False,True,False,True
380,580,380,False,False,False,True,False,True,False,True
381,581,381,False,False,False,True,False,True,False,True
382,582,382,False,False,False,True,False,True,False,True
383,583,383,False,False,False,True,False,True,False,True
384,584,384,False,False,False,True,False,True,False,True
385,585,385,False,False,False,True,False,True,False,True
386,586,386,False,False,False,True,False,True,False,True
387,587,387,False,False,False,True,False,True,False,True
388,588,388,False,False,False,True,False,True,False,True
389,589,389,False,False,False,True,False,True,False,True
390,590,390,False,False,False,True,False,True,False,True
391,591,391,False,False,False,True,False,True,False,True
392,592,392,False,False,False,True,False,True,False,True
393,593,393,False,False,False,False,False,True,False,True
394,594,394,False,False,False,False,False,True,False,True
395,595,395,False,False,False,False,False,True,False,True
396,596,396,False,False,False,False,False,True,False,True
397,597,397,False,False,False,False,False,True,False,True
398,598,398,False,False,False,False,False,True,False,True
399,599,399,False,False,False,False,False,True,False,True
400,600,400,False,False,False,False,False,True,False,True
401,601,401,False,False,False,False,False,True,False,True
402,602,402,False,False,False,False,False,True,False,True
403,603,403,False,False,False,False,False,True,False,True
404,604,404,False,False,False,False,False,True,False,True
405,605,405,False,False,False,False,False,True,False,True
406,606,406,False,False,False,False,False,True,False,True
407,607,407,False,False,False,False,False,True,False,True
408,608,408,False,False,False,False,False,True,False,True
409,609,409,False,False,False,False,False,True,False,True
410,610,410,False,False,False,False,False,True,False,True
411,611,411,False,False,False,False,False,True,False,True
412,612,412,False,False,False,False,False,True,False,True
413,613,413,False,False,False,False,False,True,False,True
414,614,414,False,False,False,False,False,True,False,True
415,615,415,False,False,False,False,False,True,False,True
416,616,416,False,False,False,False,False,True,False,True
417,617,417,False,False,False,False,False,True,False,True
418,618,418,False,False,False,False,False,True,False,True
419,619,419,False,False,False,False,False,True,False,True
420,620,420,False,False,False,False,False,True,False,True
421,621,421,False,False,False,False,False,True,False,True
422,622,422,False,False,False,False,False,True,False,True
423,623,423,False,False,False,False,False,True,False,True
424,624,424,False,False,False,False,False,True,False,True
425,625,425,False,False,False,False,False,True,False,True
426,626,426,False,False,False,False,False,True,False,True
427,627,427,False,False,False,False,False,True,False,True
428,628,428,False,False,False,False,False,True,False,True
429,629,429,False,False,False,False,False,True,False,True
430,630,430,False,False,False,False,False,True,False,True
431,631,431,False,False,False,False,False,True,False,True
432,632,432,False,False,False,False,False,True,False,True
433,633,433,False,False,False,False,False,True,False,True
434,634,434,False,False,False,False,False,True,False,True
